sal_code_2021,sal_name_2021
SAL10497,Boorolong
SAL10498,Boorook
SAL10499,Boorooma
SAL10500,Booroorban
SAL10501,Boorowa
SAL10502,Bootawa
SAL10503,Booti Booti
SAL10504,Booyong
SAL10505,Bora Ridge
SAL10506,Borah Creek
SAL10507,Borambola
SAL10508,Border Ranges
SAL10509,Boree
SAL10510,Boree Creek
SAL10511,Borenore
SAL10512,Boro
SAL10513,Bossley Park
SAL10514,Bostobrick
SAL10515,Botany
SAL10516,Botobolar
SAL10517,Bottle Creek
SAL10518,Bouddi
SAL10519,Bourbah
SAL10520,Bourke
SAL10521,Bourkelands
SAL10522,Bournda
SAL10523,Bournewood
SAL10524,Bow Bowing
SAL10525,Bowan Park
SAL10526,Bowen Mountain
SAL10527,Bowenfels
SAL10528,Bowling Alley Point
SAL10529,Bowman
SAL10530,Bowman Farm
SAL10531,Bowmans Creek
SAL10532,Bowna
SAL10533,Bowning
SAL10534,Bowral
SAL10535,Bowraville
SAL10536,Box Head
SAL10537,Box Hill (NSW)
SAL10538,Boxers Creek
SAL10539,Boydtown
SAL10540,Bradbury (NSW)
SAL10541,Braefield
SAL10542,Braemar
SAL10543,Braemar Bay
SAL10544,Braidwood
SAL10545,Brandy Hill
SAL10546,Branxton
SAL10547,Braunstone
SAL10548,Brawboy
SAL10549,Bray Park (NSW)
SAL10550,Brays Creek
SAL10551,Brayton
SAL10552,Breadalbane (NSW)
SAL10553,Breakfast Creek
SAL10554,Breakfast Point
SAL10555,Bream Beach
SAL10556,Bredbo
SAL10557,Breelong
SAL10558,Breeza
SAL10559,Bretti
SAL10560,Brewarrina
SAL10561,Brewongle
SAL10562,Briarbrook
SAL10563,Bribbaree
SAL10564,Bridgman
SAL10565,Brierfield
SAL10566,Brighton-Le-Sands
SAL10567,Brightwaters
SAL10568,Bril Bril
SAL10569,Brimbin
SAL10570,Brindabella
SAL10571,Brinerville
SAL10572,Bringelly
SAL10573,Bringenbrong
SAL10574,Brisbane Grove
SAL10575,Broadmeadow
SAL10576,Broadwater (Bega Valley - NSW)
SAL10577,Broadwater (Richmond Valley - NSW)
SAL10578,Broadway
SAL10579,Brobenah
SAL10580,Brocklehurst
SAL10581,Brocklesby
SAL10582,Brockley
SAL10583,Brodies Plains
SAL10584,Brogans Creek
SAL10585,Brogers Creek
SAL10586,Brogo
SAL10587,Broke (NSW)
SAL10588,Broken Head
SAL10589,Broken Hill
SAL10590,Brombin
SAL10591,Bronte
SAL10592,Brookdale (NSW)
SAL10593,Brookfield (NSW)
SAL10594,Brooklana
SAL10595,Brooklet
SAL10596,Brooklyn (NSW)
SAL10597,Brookong
SAL10598,Brookvale
