sal_code_2021,sal_name_2021
SAL20870,Emu Creek (Vic.)
SAL20871,Endeavour Hills
SAL20872,Enfield (Vic.)
SAL20873,Englefield
SAL20874,Enochs Point
SAL20875,Ensay
SAL20876,Ensay North
SAL20877,Eppalock
SAL20878,Epping (Vic.)
SAL20879,Epsom (Vic.)
SAL20880,Ercildoune
SAL20881,Erica
SAL20882,Errinundra
SAL20883,Eskdale (Vic.)
SAL20884,Esmond
SAL20885,Essendon
SAL20886,Essendon Fields
SAL20887,Essendon North
SAL20888,Essendon West
SAL20889,Eumemmerring
SAL20890,Eurack
SAL20891,Eureka (Vic.)
SAL20892,Euroa
SAL20893,Eurobin
SAL20894,Evansford
SAL20895,Eversley
SAL20896,Everton
SAL20897,Everton Upper
SAL20898,Exford
SAL20899,Eynesbury
SAL20900,Fairbank
SAL20901,Fairfield (Vic.)
SAL20902,Fairhaven
SAL20903,Fairley
SAL20904,Fairy Dell (Campaspe - Vic.)
SAL20905,Fairy Dell (East Gippsland - Vic.)
SAL20906,Falls Creek (Vic.)
SAL20907,Faraday
SAL20908,Fawcett
SAL20909,Fawkner
SAL20910,Fentons Creek
SAL20911,Ferguson (Vic.)
SAL20912,Fern Hill
SAL20913,Fernbank
SAL20914,Ferndale (Vic.)
SAL20915,Fernihurst
SAL20916,Fernshaw
SAL20917,Ferntree Gully
SAL20918,Ferny Creek
SAL20919,Fiery Flat
SAL20920,Fingal (Vic.)
SAL20921,Fish Creek
SAL20922,Fish Point
SAL20923,Fiskville
SAL20924,Fitzroy (Vic.)
SAL20925,Fitzroy North
SAL20926,Flaggy Creek
SAL20927,Flagstaff
SAL20928,Flamingo Beach
SAL20929,Flemington
SAL20930,Flinders (Vic.)
SAL20931,Flora Hill
SAL20932,Flowerdale (Vic.)
SAL20933,Flynn (Vic.)
SAL20934,Flynns Creek
SAL20935,Footscray
SAL20936,Forbes (Vic.)
SAL20937,Forest Hill (Vic.)
SAL20938,Forge Creek
SAL20939,Forrest (Vic.)
SAL20940,Foster
SAL20941,Foster North
SAL20942,Fosterville
SAL20943,Foxhow
SAL20944,Framlingham
SAL20945,Framlingham East
SAL20946,Franklinford
SAL20947,Frankston
SAL20948,Frankston North
SAL20949,Frankston South
SAL20950,Fraser Rise
SAL20951,Freeburgh
SAL20952,French Island
SAL20953,Frenchmans
SAL20954,Freshwater Creek
SAL20955,Fryerstown
SAL20956,Fulham (Vic.)
SAL20957,Fumina
SAL20958,Fumina South
SAL20959,Fyans Creek
SAL20960,Fyansford
SAL20961,Gaffneys Creek
SAL20962,Gainsborough
SAL20963,Gannawarra
SAL20964,Gapsted
SAL20965,Gardenvale
SAL20966,Garfield
SAL20967,Garfield North
SAL20968,Garibaldi
SAL20969,Garvoc
SAL20970,Gateway Island
SAL20971,Gatum
SAL20972,Gazette
SAL20973,Geelong
SAL20974,Geelong West
SAL20975,Gelantipy
SAL20976,Gellibrand
SAL20977,Gellibrand Lower
SAL20978,Gelliondale
SAL20979,Gembrook
SAL20980,Genoa
SAL20981,Gentle Annie
SAL20982,Georges Creek (Vic.)
SAL20983,Gerahmin
SAL20984,Gerang Gerung
SAL20985,Gerangamete
SAL20986,Germania
SAL20987,Germantown (Vic.)
SAL20988,Gerrigerrup
SAL20989,Gherang
SAL20990,Gheringhap
SAL20991,Ghin Ghin
SAL20992,Giffard
SAL20993,Giffard West
SAL20994,Gil Gil
SAL20995,Gilderoy
SAL20996,Gillieston
SAL20997,Gillum
SAL20998,Gipsy Point
SAL20999,Girgarre
SAL21000,Girgarre East
SAL21001,Gisborne
SAL21002,Gisborne South
SAL21003,Gladfield (Vic.)
SAL21004,Gladstone Park
SAL21005,Gladysdale
SAL21006,Glen Alvie
SAL21007,Glen Creek
SAL21008,Glen Forbes
SAL21009,Glen Huntly
SAL21010,Glen Iris (Vic.)
SAL21011,Glen Park
SAL21012,Glen Valley
SAL21013,Glen Waverley
SAL21014,Glen Wills
SAL21015,Glenaire
SAL21016,Glenaladale
SAL21017,Glenalbyn
SAL21018,Glenaroua
SAL21019,Glenbrae
SAL21020,Glenburn
SAL21021,Glendaruel
SAL21022,Glendonald
SAL21023,Glenfalloch
SAL21024,Glenfyne
SAL21025,Glengarry (Vic.)
SAL21026,Glengarry North
SAL21027,Glengarry West
SAL21028,Glengower
SAL21029,Glenhope
SAL21030,Glenhope East
SAL21031,Glenisla
SAL21032,Glenlee (Vic.)
SAL21033,Glenlofty
SAL21034,Glenlogie
SAL21035,Glenloth
SAL21036,Glenloth East
SAL21037,Glenluce
SAL21038,Glenlyon (Vic.)
SAL21039,Glenmaggie
SAL21040,Glenmore (Vic.)
SAL21041,Glenorchy (Vic.)
SAL21042,Glenormiston North
SAL21043,Glenormiston South
SAL21044,Glenpatrick
SAL21045,Glenrowan
SAL21046,Glenrowan West
SAL21047,Glenroy (Vic.)
SAL21048,Glenthompson
SAL21049,Glomar Beach
SAL21050,Gnarwarre
SAL21051,Gnotuk
