sal_code_2021,sal_name_2021,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
SAL20104,Bakery Hill,201011481,Ballarat East - Warrenheip,13.64,low
SAL20104,Bakery Hill,201011005,Buninyong,4.56,low
SAL20104,Bakery Hill,201011484,Sebastopol - Redan,4.56,low
SAL20105,Balaclava (Vic.),206051134,St Kilda East,76.89,medium
SAL20105,Balaclava (Vic.),208021177,Caulfield - North,23.11,low
SAL20106,Bald Hills (Vic.),201021010,Creswick - Clunes,66.96,medium
SAL20106,Bald Hills (Vic.),201021011,Daylesford,26.48,low
SAL20106,Bald Hills (Vic.),202021028,Castlemaine Surrounds,4.75,low
SAL20106,Bald Hills (Vic.),201021012,Gordon (Vic.),1.82,low
SAL20107,Balintore,217031473,Colac Surrounds,91.71,high
SAL20107,Balintore,217031476,Otway,6.31,low
SAL20107,Balintore,217031475,Corangamite - South,1.9,low
SAL20107,Balintore,217031474,Corangamite - North,0.09,low
SAL20108,Ballan,201021009,Bacchus Marsh Surrounds,98.22,high
SAL20108,Ballan,201021012,Gordon (Vic.),1.55,low
SAL20108,Ballan,203011035,Golden Plains - South,0.23,low
SAL20109,Ballangeich,217041477,Moyne - East,100.0,high
SAL20110,Ballapur,215031400,Buloke,100.0,high
SAL20111,Ballarat Central,201011001,Alfredton,22.42,low
SAL20111,Ballarat Central,201011482,Ballarat North - Invermay,20.74,low
SAL20111,Ballarat Central,201011483,Canadian - Mount Clear,18.52,low
SAL20111,Ballarat Central,201011002,Ballarat,15.56,low
SAL20111,Ballarat Central,201011481,Ballarat East - Warrenheip,13.64,low
SAL20111,Ballarat Central,201011005,Buninyong,4.56,low
SAL20111,Ballarat Central,201011484,Sebastopol - Redan,4.56,low
SAL20112,Ballarat East,201011001,Alfredton,22.42,low
SAL20112,Ballarat East,201011482,Ballarat North - Invermay,20.74,low
SAL20112,Ballarat East,201011483,Canadian - Mount Clear,18.52,low
SAL20112,Ballarat East,201011002,Ballarat,15.56,low
SAL20112,Ballarat East,201011481,Ballarat East - Warrenheip,13.64,low
SAL20112,Ballarat East,201011005,Buninyong,4.56,low
SAL20112,Ballarat East,201011484,Sebastopol - Redan,4.56,low
SAL20113,Ballarat North,201011001,Alfredton,22.42,low
SAL20113,Ballarat North,201011482,Ballarat North - Invermay,20.74,low
SAL20113,Ballarat North,201011483,Canadian - Mount Clear,18.52,low
SAL20113,Ballarat North,201011002,Ballarat,15.56,low
SAL20113,Ballarat North,201011481,Ballarat East - Warrenheip,13.64,low
SAL20113,Ballarat North,201011005,Buninyong,4.56,low
SAL20113,Ballarat North,201011484,Sebastopol - Redan,4.56,low
SAL20114,Ballendella,216011409,Rochester,85.0,medium
SAL20114,Ballendella,216011408,Lockington - Gunbower,12.99,low
SAL20114,Ballendella,216011407,Kyabram,2.01,low
SAL20115,Balliang,213041353,Bacchus Marsh,95.86,high
SAL20115,Balliang,201021009,Bacchus Marsh Surrounds,3.05,low
SAL20115,Balliang,203021043,Lara,0.99,low
SAL20115,Balliang,213041573,Eynesbury - Exford,0.1,low
SAL20116,Balliang East,213041353,Bacchus Marsh,95.86,high
SAL20116,Balliang East,201021009,Bacchus Marsh Surrounds,3.05,low
SAL20116,Balliang East,203021043,Lara,0.99,low
SAL20116,Balliang East,213041573,Eynesbury - Exford,0.1,low
SAL20117,Ballyrogan,215011387,Ararat Surrounds,89.53,medium
SAL20117,Ballyrogan,201031014,Beaufort,10.47,low
SAL20118,Balmattum,204011055,Euroa,99.26,high
SAL20118,Balmattum,204011058,Nagambie,0.41,low
