poa_code_2021,postcode,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
POA3123,3123,207011152,Hawthorn East,100.0,high
POA3124,3124,207011149,Camberwell,96.17,high
POA3124,3124,207011152,Hawthorn East,1.73,low
POA3124,3124,207011155,Surrey Hills (West) - Canterbury,1.7,low
POA3124,3124,207011150,Glen Iris - East,0.4,low
POA3125,3125,207031165,Burwood (Vic.),81.51,medium
POA3125,3125,212051319,Ashwood - Chadstone,18.49,low
POA3126,3126,207011155,Surrey Hills (West) - Canterbury,97.48,high
POA3126,3126,207011147,Balwyn,2.52,low
POA3126,3126,207011149,Camberwell,0.0,low
POA3127,3127,207031167,Surrey Hills (East) - Mont Albert,54.68,low
POA3127,3127,207011155,Surrey Hills (West) - Canterbury,42.82,low
POA3127,3127,207011147,Balwyn,1.9,low
POA3127,3127,207011149,Camberwell,0.6,low
POA3128,3128,207031163,Box Hill,100.0,high
POA3129,3129,207031164,Box Hill North,100.0,high
POA3129,3129,207021157,Doncaster,0.0,low
POA3130,3130,207031161,Blackburn,66.85,medium
POA3130,3130,207031162,Blackburn South,33.15,low
POA3131,3131,211041271,Nunawading,53.49,low
POA3131,3131,211041269,Forest Hill,46.51,low
POA3132,3132,211041270,Mitcham (Vic.),100.0,high
POA3133,3133,211041273,Vermont South,52.04,low
POA3133,3133,211041272,Vermont,47.96,low
POA3134,3134,211031266,Ringwood,53.64,low
POA3134,3134,211031268,Ringwood North,27.76,low
POA3134,3134,211031265,Croydon Hills - Warranwood,13.88,low
POA3134,3134,211021262,Warrandyte - Wonga Park,1.92,low
POA3134,3134,211031267,Ringwood East,1.7,low
POA3134,3134,211021261,Donvale - Park Orchards,1.09,low
POA3135,3135,211031267,Ringwood East,99.24,high
POA3135,3135,211031452,Croydon South,0.65,low
POA3135,3135,211031266,Ringwood,0.11,low
POA3136,3136,211031450,Croydon - East,31.01,low
POA3136,3136,211031451,Croydon - West,30.49,low
POA3136,3136,211031265,Croydon Hills - Warranwood,27.9,low
POA3136,3136,211031452,Croydon South,10.3,low
POA3136,3136,211031266,Ringwood,0.3,low
POA3137,3137,211051277,Kilsyth,68.04,medium
POA3137,3137,211031263,Bayswater North,19.62,low
POA3137,3137,211031450,Croydon - East,12.34,low
POA3137,3137,211031452,Croydon South,0.0,low
POA3138,3138,211051281,Mooroolbark,100.0,high
POA3139,3139,211051286,Yarra Valley,51.41,low
POA3139,3139,211051285,Wandin - Seville,48.59,low
POA3140,3140,211051278,Lilydale - Coldstream,99.5,high
POA3140,3140,211051281,Mooroolbark,0.5,low
POA3141,3141,206061515,South Yarra - North,44.75,low
POA3141,3141,206061516,South Yarra - South,39.7,low
POA3141,3141,206041125,South Yarra - West,15.55,low
POA3142,3142,206061138,Toorak,100.0,high
POA3143,3143,206061135,Armadale,97.95,high
POA3143,3143,206061136,Prahran - Windsor,2.05,low
POA3144,3144,208041194,Malvern - Glen Iris,97.28,high
POA3144,3144,206061135,Armadale,1.41,low
POA3144,3144,206061138,Toorak,1.31,low
POA3145,3145,208041195,Malvern East,92.92,high
POA3145,3145,208021177,Caulfield - North,5.5,low
POA3145,3145,208041194,Malvern - Glen Iris,1.59,low
POA3146,3146,207011150,Glen Iris - East,64.04,medium
POA3146,3146,208041194,Malvern - Glen Iris,35.96,low
POA3147,3147,207011146,Ashburton (Vic.),52.63,low
POA3147,3147,212051319,Ashwood - Chadstone,47.37,low
POA3147,3147,207011150,Glen Iris - East,0.0,low
POA3148,3148,212051319,Ashwood - Chadstone,100.0,high
POA3149,3149,212051324,Mount Waverley - South,54.57,low
POA3149,3149,212051323,Mount Waverley - North,45.43,low
POA3150,3150,212051321,Glen Waverley - East,34.16,low
POA3150,3150,212051322,Glen Waverley - West,33.25,low
POA3150,3150,212051327,Wheelers Hill,32.59,low
POA3151,3151,207031166,Burwood East,100.0,high
POA3152,3152,211011260,Wantirna South,51.42,low
POA3152,3152,211011259,Wantirna,40.74,low
POA3152,3152,211011254,Knoxfield - Scoresby,7.33,low
POA3152,3152,211011446,Boronia,0.37,low
POA3152,3152,211011251,Bayswater,0.14,low
POA3153,3153,211011251,Bayswater,57.15,low
POA3153,3153,211031263,Bayswater North,42.35,low
POA3153,3153,211011259,Wantirna,0.5,low
POA3154,3154,211011449,The Basin,96.6,high
POA3154,3154,211011446,Boronia,3.26,low
POA3154,3154,211051282,Mount Dandenong - Olinda,0.13,low
POA3155,3155,211011446,Boronia,98.36,high
POA3155,3155,211011251,Bayswater,1.64,low
POA3156,3156,211011448,Ferntree Gully (South) - Upper Ferntree Gully,39.9,low
POA3156,3156,211011447,Ferntree Gully - North,36.72,low
POA3156,3156,211011255,Lysterfield,17.09,low
POA3156,3156,212021453,Endeavour Hills - North,2.57,low
POA3156,3156,211051284,Upwey - Tecoma,2.33,low
