postcode,locality,state,type,status,lat,lng,sa1_code_2021,sa1_name_2021,sa2_code_2021,sa2_name_2021,lga_name,lga_code
3072,SYLVESTER,VIC,Delivery Area,Updated 6-Feb-2020,-37.7376,145.017,20902152630,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3073,KEON PARK,VIC,Delivery Area,Updated 6-Feb-2020,-37.694627,145.0118427,20902152633,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3073,RESERVOIR,VIC,Delivery Area,Updated 6-Feb-2020,-37.7118644,145.0107588,20902152633,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3073,RESERVOIR EAST,VIC,Delivery Area,Updated 6-Feb-2020,-37.7192575,145.0215296,20902152633,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3073,RESERVOIR NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7118644,145.0107588,20902152633,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3073,RESERVOIR SOUTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.730588,145.014943,20902152633,Reservoir (Vic.),209021526,Reservoir - South West,Darebin,21890
3074,THOMASTOWN,VIC,Delivery Area,Updated 6-Feb-2020,-37.6837819,145.0107588,20904153030,Thomastown,209041530,Lalor - West,Whittlesea,27070
3075,LALOR,VIC,Delivery Area,Updated 6-Feb-2020,-37.6650543,145.0107588,20904153032,Lalor,209041530,Lalor - West,Whittlesea,27070
3075,LALOR PLAZA,VIC,Delivery Area,Updated 6-Feb-2020,-37.67405,145.0364765,20904153032,Lalor,209041530,Lalor - West,Whittlesea,27070
3076,EPPING,VIC,Delivery Area,Updated 6-Feb-2020,-37.6341341,145.016269,20904153026,Lalor,209041530,Lalor - West,Whittlesea,27070
3076,EPPING DC,VIC,Delivery Area,Updated 6-Feb-2020,-37.6377,145.026,20904153026,Lalor,209041530,Lalor - West,Whittlesea,27070
