sa2_code_2021,total_population,median_age,median_household_income_weekly,median_personal_income_weekly,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,average_household_size,age_0_14_count,age_15_24_count,age_25_34_count,age_65_plus_count,age_0_14_pct,age_15_24_pct,age_25_34_pct,age_65_plus_pct,born_overseas_count,language_other_than_english_count,born_overseas_pct,language_other_than_english_pct,need_for_assistance_count,need_for_assistance_pct,couple_family_with_children_count,one_parent_family_count,other_family_count,total_families,couple_family_with_children_pct,one_parent_family_pct,family_households_count,non_family_households_count,total_households,family_households_pct,non_family_households_pct,lone_person_households_count,group_households_count,lone_person_households_pct,group_households_pct,no_car_households_count,one_car_households_count,two_car_households_count,three_plus_car_households_count,car_households_total,no_car_households_pct,two_plus_car_households_pct,owned_outright_count,owned_with_mortgage_count,rented_count,tenure_total,owned_outright_pct,owned_with_mortgage_pct,renters_pct,owner_occupied_pct,train_to_work_count,bus_to_work_count,tram_to_work_count,car_driver_to_work_count,walk_to_work_count,worked_from_home_count,travel_to_work_total,public_transport_to_work_pct,car_to_work_pct,walk_to_work_pct,worked_from_home_pct,rent_to_income_ratio
207011519,9890,35,2300,1215,3536,401,2800,2.2,1342,1563,1945,1455,13.57,15.8,19.67,14.71,2460,1733,24.87,17.52,300,3.03,2675,566,114,2386,112.11,23.72,2371,1685,4051,58.53,41.59,1364,319,33.67,7.87,505,1930,1198,373,4051,12.47,38.78,1202,1009,1732,4051,29.67,24.91,42.75,54.58,199,0,108,1576,285,2459,5677,5.41,27.76,5.02,43.32,0.1743
207011520,11957,34,2055,1207,3116,400,2100,2,1362,1870,2886,1697,11.39,15.64,24.14,14.19,3699,2794,30.94,23.37,419,3.5,2719,635,214,2770,98.16,22.92,2754,2671,5425,50.76,49.24,2249,423,41.46,7.8,821,2821,1295,428,5425,15.13,31.76,1359,1356,2563,5425,25.05,25,47.24,50.05,284,4,190,1937,315,3179,7199,6.64,26.91,4.38,44.16,0.1946
207011521,11601,42,2577,1104,3364,501,3050,2.6,1735,1838,1375,2336,14.96,15.84,11.85,20.14,3525,2953,30.39,25.45,539,4.65,3394,1070,125,3014,112.61,35.5,2972,1272,4244,70.03,29.97,1068,202,25.16,4.76,221,1712,1611,659,4244,5.21,53.49,1828,1259,1058,4244,43.07,29.67,24.93,72.74,47,19,115,2127,184,2409,5966,3.03,35.65,3.08,40.38,0.1944
207011522,13039,41,2459,1133,3259,456,3000,2.5,1992,1649,1799,2427,15.28,12.65,13.8,18.61,4007,3535,30.73,27.11,730,5.6,3997,1020,131,3349,119.35,30.46,3294,1574,4869,67.65,32.33,1306,273,26.82,5.61,334,1965,1807,711,4869,6.86,51.71,1779,1383,1540,4869,36.54,28.4,31.63,64.94,20,82,114,2462,197,2721,6819,3.17,36.11,2.89,39.9,0.1854
207021156,11289,45,1812,739,2206,460,2400,2.6,1630,1295,1260,2726,14.44,11.47,11.16,24.15,4641,5518,41.11,48.88,855,7.57,3306,1216,97,3308,99.94,36.76,3221,1060,4279,75.27,24.77,953,107,22.27,2.5,257,1389,1777,810,4279,6.01,60.46,2085,1234,857,4279,48.73,28.84,20.03,77.56,11,142,0,2571,48,1625,5371,2.85,47.87,0.89,30.26,0.2539
207021157,24814,40,1595,721,1957,450,2167,2.4,3482,2853,3879,5371,14.03,11.5,15.63,21.65,13567,14469,54.67,58.31,1464,5.9,6862,2726,336,7154,95.92,38.1,6988,2905,9892,70.64,29.37,2574,329,26.02,3.33,689,4320,3539,1221,9892,6.97,48.12,3708,2672,3010,9892,37.48,27.01,30.43,64.5,41,402,9,5209,207,3583,11500,3.93,45.3,1.8,31.16,0.2821
207021159,16966,46,2163,781,2419,513,2700,2.8,2621,1943,1571,4256,15.45,11.45,9.26,25.09,7223,7638,42.57,45.02,1168,6.88,5363,1410,105,4894,109.58,28.81,4682,1033,5717,81.9,18.07,966,73,16.9,1.28,166,1488,2546,1457,5717,2.9,70.02,2685,2016,801,5717,46.97,35.26,14.01,82.23,9,155,0,3711,42,2566,7764,2.11,47.8,0.54,33.05,0.2372
207021160,14191,45,1919,753,2231,475,2500,2.7,2364,1497,1346,3547,16.66,10.55,9.48,24.99,5653,6393,39.84,45.05,1194,8.41,4675,1485,106,4082,114.53,36.38,3971,1066,5035,78.87,21.17,972,90,19.3,1.79,176,1658,2241,920,5035,3.5,62.78,2386,1641,882,5035,47.39,32.59,17.52,79.98,10,156,0,2922,32,2142,6403,2.59,45.63,0.5,33.45,0.2475
207021424,15672,43,1934,704,2158,497,2400,2.8,2602,1848,1578,3440,16.6,11.79,10.07,21.95,7977,8787,50.9,56.07,867,5.53,5409,1377,116,4609,117.36,29.88,4432,923,5352,82.81,17.25,847,72,15.83,1.35,169,1634,2333,1159,5352,3.16,65.25,2425,1835,909,5352,45.31,34.29,16.98,79.6,28,194,3,3458,59,2333,7284,3.09,47.47,0.81,32.03,0.257
207021425,15454,40,1656,698,1979,460,2383,2.6,3025,1504,1818,3082,19.57,9.73,11.76,19.94,8213,9103,53.14,58.9,902,5.84,6107,1688,149,4375,139.59,38.58,4239,1428,5673,74.72,25.17,1305,119,23,2.1,293,2345,2307,676,5673,5.16,52.58,2135,1664,1687,5673,37.63,29.33,29.74,66.97,23,214,3,3122,100,2216,6905,3.48,45.21,1.45,32.09,0.2778
207031161,22106,40,2050,900,2557,420,2300,2.6,3807,2850,2594,3878,17.22,12.89,11.73,17.54,7435,6969,33.63,31.53,1102,4.99,7891,1876,187,6001,131.49,31.26,5875,2381,8259,71.13,28.83,2081,298,25.2,3.61,494,3353,3186,1143,8259,5.98,52.42,3217,2850,2013,8259,38.95,34.51,24.37,73.46,332,105,4,4247,163,4335,11295,3.9,37.6,1.44,38.38,0.2049
207031162,10939,42,1861,753,2371,410,2251,2.6,1902,1317,1142,2312,17.39,12.04,10.44,21.14,4035,3995,36.89,36.52,817,7.47,3864,998,98,2933,131.74,34.03,2846,1181,4024,70.73,29.35,1050,131,26.09,3.26,356,1388,1595,630,4024,8.85,55.29,1529,1398,962,4024,38,34.74,23.91,72.74,59,37,0,2217,78,1798,5197,1.85,42.66,1.5,34.6,0.2203
207031163,22841,34,1441,682,1914,391,2088,2.3,2825,3753,4879,3357,12.37,16.43,21.36,14.7,12184,11893,53.34,52.07,1209,5.29,5596,2084,382,5648,99.08,36.9,5538,3558,9096,60.88,39.12,2762,800,30.36,8.8,1620,4252,2278,815,9096,17.81,34,2193,2170,4304,9096,24.11,23.86,47.32,47.97,532,246,48,4083,626,3349,11258,7.34,36.27,5.56,29.75,0.2713
207031164,18126,39,1920,788,2304,438,2491,2.6,3092,2372,2498,2971,17.06,13.09,13.78,16.39,7838,7844,43.24,43.27,883,4.87,6221,1918,227,4958,125.47,38.68,4837,1829,6671,72.51,27.42,1512,311,22.67,4.66,454,2603,2596,937,6671,6.81,52.96,2450,2114,1933,6671,36.73,31.69,28.98,68.42,178,152,19,3713,183,3039,9012,3.87,41.2,2.03,33.72,0.2281
207031165,12336,33,1564,637,2119,401,2457,2.4,1492,2606,2381,2023,12.09,21.13,19.3,16.4,5920,5719,47.99,46.36,661,5.36,2767,1188,193,2776,99.68,42.8,2712,1770,4481,60.52,39.5,1328,443,29.64,9.89,530,1851,1493,547,4481,11.83,45.53,1324,1139,1744,4481,29.55,25.42,38.92,54.97,70,108,130,2492,124,1731,5922,5.2,42.08,2.09,29.23,0.2564
207031166,10675,41,1610,676,1972,439,2147,2.6,1459,1337,1592,2383,13.67,12.52,14.91,22.32,5565,5873,52.13,55.02,663,6.21,3168,1033,109,2982,106.24,34.64,2906,1108,4021,72.27,27.56,907,204,22.56,5.07,277,1557,1552,586,4021,6.89,53.17,1685,1111,1017,4021,41.9,27.63,25.29,69.53,53,58,67,2298,44,1536,5015,3.55,45.82,0.88,30.63,0.2727
207031167,10166,42,2388,1071,3092,462,2600,2.5,1589,1349,1193,1993,15.63,13.27,11.74,19.6,3042,2471,29.92,24.31,483,4.75,3298,761,111,2819,116.99,27,2774,1021,3796,73.08,26.9,903,120,23.79,3.16,190,1447,1578,556,3796,5.01,56.22,1523,1225,962,3796,40.12,32.27,25.34,72.39,169,9,36,1835,100,2308,5339,4.01,34.37,1.87,43.23,0.1935
208011168,14021,48,2622,1043,3296,612,3000,2.7,2499,1814,752,3147,17.82,12.94,5.36,22.44,3325,1476,23.71,10.53,479,3.42,5035,949,60,4036,124.75,23.51,4001,1041,5040,79.38,20.65,1001,40,19.86,0.79,142,1425,2355,1063,5040,2.82,67.82,2430,1848,644,5040,48.21,36.67,12.78,84.88,60,19,0,2726,130,2852,6972,1.13,39.1,1.86,40.91,0.2334
208011169,22758,48,2718,1265,3808,600,3467,2.4,3541,2661,1795,5689,15.56,11.69,7.89,25,6230,3588,27.37,15.77,974,4.28,6981,1783,136,6259,111.54,28.49,6187,2608,8799,70.31,29.64,2456,150,27.91,1.7,431,3424,3442,1411,8799,4.9,55.15,3971,2458,2083,8799,45.13,27.93,23.67,73.07,302,26,5,3677,276,4945,10978,3.03,33.49,2.51,45.04,0.2208
208011170,16540,44,2720,1064,3421,602,3335,2.7,3180,2086,1151,3370,19.23,12.61,6.96,20.37,4900,3443,29.63,20.82,930,5.62,6370,1441,69,4500,141.56,32.02,4450,1332,5787,76.9,23.02,1220,115,21.08,1.99,211,1931,2576,1024,5787,3.65,62.21,2371,2048,1168,5787,40.97,35.39,20.18,76.36,119,13,24,2925,108,3486,8032,1.94,36.42,1.34,43.4,0.2213
208011171,12439,40,2291,1025,2975,450,2500,2.5,2526,1352,1359,1859,20.31,10.87,10.93,14.94,3479,2224,27.97,17.88,611,4.91,4926,1281,69,3408,144.54,37.59,3378,1323,4699,71.89,28.15,1204,121,25.62,2.58,281,1871,1955,558,4699,5.98,53.48,1403,1939,1260,4699,29.86,41.26,26.81,71.12,150,32,0,2437,132,2627,6569,2.77,37.1,2.01,39.99,0.1964
208011172,18200,43,2415,1033,3383,471,3000,2.5,3207,2281,1620,3216,17.62,12.53,8.9,17.67,5059,2868,27.8,15.76,850,4.67,6208,1587,120,4940,125.67,32.13,4893,1962,6856,71.37,28.62,1812,151,26.43,2.2,462,2619,2677,1034,6856,6.74,54.13,2543,2354,1776,6856,37.09,34.33,25.9,71.43,229,31,3,3170,180,4058,9273,2.84,34.19,1.94,43.76,0.195
208011173,17358,48,2356,1082,3310,486,2800,2.4,2718,1983,1227,4154,15.66,11.42,7.07,23.93,4438,2046,25.57,11.79,896,5.16,5513,1222,74,4813,114.54,25.39,4768,1995,6765,70.48,29.49,1892,107,27.97,1.58,368,2581,2729,1020,6765,5.44,55.42,2945,2136,1510,6765,43.53,31.57,22.32,75.11,160,22,0,3071,191,3738,8679,2.1,35.38,2.2,43.07,0.2063
