year,suburb_key,postcode,suburb_name,lga_key,lga_name,total_offences,person_offences,property_offences,disorder_offences,other_offences,total_offence_percentile,person_crime_percentile,property_crime_percentile,disorder_crime_percentile,crime_context_score,crime_context_label,crime_context_summary,crime_context_score_raw
2025,MERRIMU,3340,Merrimu,MOORABOOL,Moorabool,12,1,10,0,1,0.5048,0.3566,0.5907,0.1417,69.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",61.6
2025,MERRINEE,3496,Merrinee,MILDURA,Mildura,2,0,2,0,0,0.1467,0.1455,0.2661,0.1417,92.2,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",81.9
2025,MERTON,3715,Merton,MANSFIELD,Mansfield,19,5,12,2,0,0.5782,0.6093,0.6154,0.4423,47.5,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",42.2
2025,METCALFE,3448,Metcalfe,MOUNT ALEXANDER,Mount Alexander,10,2,2,5,1,0.4701,0.4643,0.2661,0.5681,64.6,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Public/drug/disorder offences are the largest recorded component; use this as context, not as a judgement of the suburb.",57.4
2025,METUNG,3904,Metung,EAST GIPPSLAND,East Gippsland,52,16,13,21,2,0.704,0.7416,0.6252,0.7308,33.2,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Public/drug/disorder offences are the largest recorded component; use this as context, not as a judgement of the suburb.",29.5
2025,MIA MIA,3444,Mia Mia,GREATER BENDIGO; MITCHELL,Greater Bendigo; Mitchell,10,4,6,0,0,0.4701,0.5759,0.5084,0.1417,59.8,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",53.1
2025,MICKLEHAM,3064,Mickleham,HUME,Hume,1322,287,770,260,5,0.9408,0.9624,0.944,0.9344,5.5,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",4.9
2025,MIDDLE CREEK,3375,Middle Creek,ARARAT; PYRENEES,Ararat; Pyrenees,3,0,2,1,0,0.2182,0.1455,0.2661,0.3474,87.6,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",77.8
2025,MIDDLE PARK,3206,Middle Park,PORT PHILLIP,Port Phillip,295,22,252,21,0,0.833,0.7648,0.8604,0.7308,24.0,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",21.3
2025,MIEPOLL,3666,Miepoll,STRATHBOGIE,Strathbogie,5,2,2,1,0,0.3319,0.4643,0.2661,0.3474,69.7,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Personal-safety offences are the largest recorded component; use this as context, not as a judgement of the suburb.",61.9
2025,MIGA LAKE,3409,Miga Lake,WEST WIMMERA,West Wimmera,1,0,1,0,0,0.0546,0.1455,0.1419,0.1417,96.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",85.6
2025,MILAWA,3678,Milawa,WANGARATTA,Wangaratta,25,7,6,12,0,0.6154,0.6587,0.5084,0.6741,43.1,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Public/drug/disorder offences are the largest recorded component; use this as context, not as a judgement of the suburb.",38.3
2025,MILDURA,3500,Mildura,MILDURA,Mildura,6674,1140,2983,2539,12,0.9983,0.9987,0.9958,0.9983,0.2,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",0.2
2025,MILL PARK,3082,Mill Park,WHITTLESEA,Whittlesea,1868,295,1103,464,6,0.9657,0.9649,0.9628,0.9628,4.1,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",3.6
2025,MILLBROOK,3352,Millbrook,MOORABOOL,Moorabool,11,0,11,0,0,0.4898,0.1455,0.6049,0.1417,80.7,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",71.7
